ID      mainclName      TotalRecords    TotalSizes      RealSizes
1       bdp_uaps.o_uaps_t_txn_refund    0.001414756290614605    2.321533203125  2.421586458571255
2       bdp_uaps.o_uaps_t_txn_dbt       0.8871507020667195      788.8440551757812       942.6366399945691
3       bdp_npc.o_npc_cs_accountentryrecord     0.18099813163280487     67.22998046875  81.33904693461955
4       bdp.f_sdb_hpls_ismp_image_log   0.000039808452129364014 0.12457275390625        0.15807659178972244
5       bdp_espm.o_espm_bs_eshop_cloud_box_push_logs_his        1.1541722742840648      681.6561889648438       860.5744844106957
6       bdp_espm.o_espm_pm_serial_syn_his       1.4125910187140107      1248.013671875  1403.4363968884572
7       bdp.f_sdb_pcrpt_hsz_nbzdzd      28.456205820664763      9101.621826171875       10626.471298840828
8       bdp.f_sdb_icop_first_login_time 0.008304523304104805    2.88531494140625        3.2128419363871217
9       bdp.f_sdb_ltts_ktab_cfhqmx_solr 0.12476486247032881     57.50640869140625       68.96763229928911
10      bdp_espm.o_espm_bs_eshop_wechatpushsend_his     0.8990671001374722      639.163330078125        763.8787594810128
11      bdp_espm.o_espm_bs_eshop_sendorderdetail_his    1.2702847560867667      628.5743408203125       784.0608368050307
12      bdp.f_sdb_icop_epcc_epcc_tranlog_info   3.7982657831162214      2008.680419921875       2364.146623524837
13      bdp.f_sdb_icop_dbank_cust_audit_info    0.022782102227211       26.1641845703125        24.9094961239025
14      bdp.f_sdb_pfb_acct_info_20250108bak     0.000048615969717502594 0.06976318359375        0.063644596375525
15      bdp.f_sdb_icop_ware_biz_info_custid     0.007260829210281372    6.892333984375  7.597651493735611
16      bdp_npc.o_npc_beps_crdt_rcvlt   0.06989116966724396     60.30499267578125       72.21503844484687
17      bdp.f_sdb_mpaas_zntzck_inc_his  0.0016327360644936562   1.0982666015625 1.1789508890360594
18      bdp_posp.o_posp_translog_h5     0.13707955088466406     69.05499267578125       71.44034400396049
19      bdp.f_sdb_mpaas_zntzck_tran_list        0.0022190436720848083   1.91278076171875        2.0186828495934606
20      bdp.f_sdb_ltts_zh_lsmx  4.800422394648194       1342.4117431640625      1528.4822378614917
21      bdp.f_sdb_05_cbk_acct   7.103404489345849       3040.306396484375       3607.4308901662007
22      qrtc_event.rt_s_o_d_icop_cup_trans_log  0.0020766565576195717   2.092529296875  2.274621984921396
23      bdp_posp.o_posp_hpos_log        0.00012401584535837173  0.21197509765625        0.22046628408133984
24      bdp.f_sdb_ussp_zdmx_report      0.000015040859580039978 0.06878662109375        0.02141900733113289
25      bdp.f_sdb_mpaas_jgxck_tran_list 0.00245797261595726     36.78497314453125       3.1960999593138695
26      ccdm.f_ccdm_p_tt_camp_cust_card_info    0.0024391058832406998   1.55145263671875        1.5907315025106072
27      bdp.f_sdb_mpaas_jgxck_inc_his   0.0007703360170125961   0.8204345703125 0.6009194040670991
28      bdp.f_sdb_icop_biz_transfer_no  0.3828344065696001      334.95074462890625      315.65389459673315
29      bdp.f_sdb_hpls_acc_loan_flow    0.009401445277035236    282.972412109375        10.144002352841198
30      bdp_ylk.o_ylk_coma      0.25392577797174454     166.70782470703125      199.32415300048888
31      bdp.f_sdb_02_agre_rela_h        0.2700185412541032      93.75732421875  116.11596880666912
32      bdp_icop.o_icop_crtcd_trans_record      0.021706839092075825    19.3443603515625        21.383460070937872
33      bdp_icop.o_icop_pcm_referee_info        0.05249087139964104     21.7442626953125        25.918684867210686
34      bdp_npc.o_npc_hvps_recvlist     0.012725239619612694    12.98846435546875       15.102300884202123
35      bdp_icop.o_icop_icop_gen_payment        0.041777847334742546    25.13323974609375       30.182268534787
36      bdp.f_sdb_icop_cup_trans_log    0.29291072953492403     140.17742919921875      167.89589541591704
37      bdp.f_sdb_icop_bal_detail       1.3475925251841545      473.12017822265625      542.299059943296
38      bdp.f_sdb_mpaas_ssc_inc_his     0.003026410937309265    1.51220703125   1.688105545938015
39      bdp.f_sdb_eqz_wblxykmx  0.0017735622823238373   0.9569091796875 1.0025898572057486
40      bdp_fnc_5lc.o_fnc_5lc_t5_cust_trans_log_h       0.009153639897704124    5.3863525390625 5.632259406149387
41      bdp_cibs.o_cibs_e_tran_info     0.1867091143503785      108.89752197265625      123.63545602466911
42      bdp.f_sdb_bpt_bplat_runstatus   0.004179032519459724    3.07763671875   3.397991902194917
43      bdp_cibs.o_cibs_aprov_user      0.1871284330263734      76.46380615234375       90.2656016703695
44      bdp.f_sdb_icop_gov_batch_czgz   0.0009090211242437363   1.22613525390625        1.3172760168090463
45      bdp_uaps.o_uaps_b_fund_trans_info       0.09178310632705688     76.46630859375  89.17079698946327
46      bdp.f_sdb_icop_ware_biz_info_ecustid    1.4680224461480975      940.7686157226562       1078.0851009981707
47      bdp.f_sdb_cfas_ln_mst_hst_all_sum       0.05909742787480354     27.63983154296875       32.29768305644393
48      bdp_icop.o_icop_icop_cups_serial        0.7979260636493564      580.3972778320312       699.5163926482201
49      bdp.f_sdb_eqz_aip_oper_paytime_predict_out      0.00010209344327449799  0.05224609375   0.05859762616455555
50      bdp.f_sdb_pcrpt_hsz_nbzhyeb     4.625393344089389       1214.1651611328125      1380.6430117795244
51      bdp.f_sdb_05_corp_acct_txn      0.2957653868943453      128.3046875     147.9491278314963
52      bdp.f_sdb_zhtt_pub_voucher      0.04179974086582661     20.899169921875 24.9269599635154
53      bdp_bill.kdpl_zhminx0   0.003798401914536953    5.53436279296875        6.10904605127871
54      bdp.f_sdb_icop_dbank_image_audit_info   0.05926430318504572     29.34735107421875       34.22223098576069
