ID      clName  TotalRecords    TotalSizes      RealSizes
56      qrtc_event.rt_s_o_d_nco_acc_tf_on_balance       12173   61.12774658203125       60.43368377536535
57      qrtc_event.rt_s_o_d_rcms_cus_indiv      1771848 1.50421142578125        1.4301077090203762
58      bdp.f_sdb_icop_direct_bank_tub  155     0.00732421875   0.002981468103826046
59      bdp_202302.f_sdb_pcrpt_hsz_nbzdzd_2023_02_half_2        0       0.005859375     0.0029306262731552124
60      bdp.f_sdb_sgs_gsgx_e_baseinfo   3045362 246.95379638671875      2.7848747866228223
61      ccdm_sub2.f_ccdm_p_tt_camp_cust_info_trn2       22746074        5.9493408203125 5.166805988177657
62      bdp.f_sdb_05_corp_acct_txn_label        12099   0.0087890625    0.00613513495773077
63      bdp.f_sdb_crd_last_loaddt       1       0.00592041015625        0.0029414044693112373
64      bdp_2023.f_sdb_ussp_hdhz_list_2023      0       0.0146484375    0.007326565682888031
65      qrtc_event.rt_s_o_d_icop_biz_transfer   204369004       107.91534423828125      99.8667510068044
66      bdp_202301.f_sdb_ltts_zh_lsmx_202301    0       0.005859375     0.0029306262731552124
67      bdp.f_sdb_judi_acct_dtl 44448363        29.77545166015625       18.821213284507394
68      sdb_bdp.snapshot_four_info      329709  0.0904541015625 0.08935315907001495
69      bdp_npc_2027.o_npc_cs_accountentryrecord_2027   0       0.0087890625    0.004395939409732819
70      bdp_202301.f_sdb_pcrpt_hsz_nbzdzd_2023_01_half_2        0       0.005859375     0.0029306262731552124
71      qrtc_event.rt_s_o_d_nco_ctr_loan_cont   308273  6.8780517578125 6.790165864862502
72      bdp_202303.f_sdb_pcrpt_hsz_nbzdzd_2023_03_half_2        0       0.005859375     0.0029306262731552124
73      sdb_bdp.snapshot_five_info      1612    0.00042724609375        0.0003611939027905464
74      bdp_202307.f_sdb_pcrpt_hsz_nbzdzd_2023_07_half_2        0       0.005859375     0.0029306262731552124
75      bdp_202309.f_sdb_pcrpt_hsz_nbzdzd_2023_09_half_2        0       0.005859375     0.0029306262731552124
76      bdp_202311.f_sdb_pcrpt_hsz_nbzdzd_2023_11_half_2        0       0.005859375     0.0029306262731552124
77      sdb_event.snapshot_four_info    329709  0.09033203125   0.08923966437578201
78      bdp.f_sdb_ged_wage_gnrt 78704   0.04425048828125        0.03557096980512142
79      bdp_202304.f_sdb_ltts_zh_lsmx_202304    0       0.005859375     0.0029306262731552124
80      bdp_sub2.f_sdb_hpls_lm_setlmt_log_flow_trn2     7349672 3.4969482421875 3.324766949750483
81      bdp_posp_sub2.o_posp_translog_h5_trn2   49719   0.05194091796875        0.04474306479096413
82      bdp_202310.f_sdb_icop_bal_detail_202310 0       0.005859375     0.0029306262731552124
83      bdp.f_sdb_ltts_old_zh_rela      5176330 2.004638671875  1.7416679337620735
84      bdp.f_sdb_uaps_acct_statement_info      695575  0.28265380859375        0.25839118007570505
85      bdp_202304.f_sdb_05_cbk_acct_202304     0       0.0087890625    0.004395939409732819
86      bdp_202304.f_sdb_icop_bal_detail_202304 0       0.005859375     0.0029306262731552124
87      bdp.f_sdb_jyds_dwjsk_rela       93558   0.051513671875  0.042036728002130985
88      bdp_202307.f_sdb_bpt_bplat_plmx_202307  0       0.005859375     0.0029306262731552124
89      bdp_202307.f_sdb_icop_ware_biz_info_ecustid_202307      0       0.0087890625    0.004395939409732819
90      bdp_202307.f_sdb_05_cbk_acct_202307     0       0.0087890625    0.004395939409732819
91      bdp_202401.f_sdb_05_cbk_acct_202401     0       0.0087890625    0.004395939409732819
92      bdp_sub2.f_sdb_ussp_cust_asset_debt_bal_trn2    19113921        4.3701171875    3.9369156723842025
93      cmds.k_cmds_contract_param      0       0.0029296875    0.0014653131365776062
94      bdp.f_sdb_rcms_dyxxcx_payers    114083  0.05364990234375        0.04407799243927002
95      bdp_sub2.f_sdb_fxyj_t45_hand_room_alert_trn2    36254   0.06390380859375        0.05989597085863352
96      bdp.f_sdb_ussp_acct_secret_config_bak20250326   38      0.00018310546875        0.00008075591176748276
97      bdp.f_sdb_hpls_ydd_cust 6642193 1.946044921875  1.7424266105517745
98      bdp_202310.f_sdb_05_cbk_acct_202310     0       0.0087890625    0.004395939409732819
99      bdp_sub2.f_sdb_icop_eshop_loan_cust_info_trn2   21387475        6.30487060546875        5.845240443944931
